Areaname,STCOU,LND010190F,LND010190D,LND010190N1,LND010190N2,LND010200F,LND010200D,LND010200N1,LND010200N2,LND110180F,LND110180D,LND110180N1,LND110180N2,LND110190F,LND110190D,LND110190N1,LND110190N2,LND110200F,LND110200D,LND110200N1,LND110200N2,LND110210F,LND110210D,LND110210N1,LND110210N2,LND210190F,LND210190D,LND210190N1,LND210190N2,LND210200F,LND210200D,LND210200N1,LND210200N2
"Talladega, AL",1121,0,760.32,0,0,0,760.25,0,0,0,753,0,0,0,739.6,0,0,0,739.53,0,0,0,736.78,0,0,0,20.72,0,0,0,20.72,0,0
"Tallapoosa, AL",1123,0,766.3,0,0,0,766.23,0,0,0,701.27,0,0,0,718.04,0,0,0,717.93,0,0,0,716.52,0,0,0,48.26,0,0,0,48.3,0,0
"Tuscaloosa, AL",1125,0,1352.03,0,0,0,1351.23,0,0,0,1336.28,0,0,0,1325.27,0,0,0,1324.37,0,0,0,1321.76,0,0,0,26.76,0,0,0,26.85,0,0
"Walker, AL",1127,0,805.36,0,0,0,805.3,0,0,0,803.57,0,0,0,794.45,0,0,0,794.39,0,0,0,791.19,0,0,0,10.91,0,0,0,10.91,0,0
"Washington, AL",1129,0,1088.62,0,0,0,1088.54,0,0,0,1080.82,0,0,0,1080.73,0,0,0,1080.66,0,0,0,1080.21,0,0,0,7.89,0,0,0,7.89,0,0
"Wilcox, AL",1131,0,907.54,0,0,0,907.46,0,0,0,883.14,0,0,0,888.76,0,0,0,888.68,0,0,0,888.5,0,0,0,18.78,0,0,0,18.78,0,0
"Winston, AL",1133,0,631.9,0,0,0,631.86,0,0,0,613.4,0,0,0,614.48,0,0,0,614.44,0,0,0,612.98,0,0,0,17.42,0,0,0,17.42,0,0
ALASKA,2000,0,656424.14,0,0,0,663267.26,0,0,0,570833,0,0,0,570373.55,0,0,0,571951.26,0,0,0,570640.95,0,0,0,86050.59,0,0,0,91316,0,0
"Aleutians East, AK",2013,0,15011.77,0,0,0,15011.6,0,0,2,0,5080,0,0,6984.75,0,0,0,6988.14,0,0,0,6981.94,0,0,0,8027.02,0,0,0,8023.46,0,0
"Aleutians West, AK",2016,0,14114.7,0,0,0,14116.51,0,0,1,10890,5080,0,0,4402.11,0,0,0,4396.77,0,0,0,4390.28,0,0,0,9712.59,0,0,0,9719.74,0,0
"Anchorage, AK",2020,0,1961.51,0,0,0,1961.09,0,0,0,1732,0,0,0,1697.64,0,0,0,1697.21,0,0,0,1704.68,0,0,0,263.87,0,0,0,263.88,0,0
"Bethel, AK",2050,0,45954.59,0,0,0,45508.46,0,0,0,36104,0,0,0,41087.41,0,0,0,40633.31,0,0,0,40570,0,0,0,4867.18,0,0,0,4875.15,0,0
"Bristol Bay, AK",2060,0,917.61,0,0,0,887.68,0,0,0,531,0,0,0,519.22,0,0,0,504.92,0,0,0,503.84,0,0,0,398.39,0,0,0,382.77,0,0
"Denali, AK",2068,2,0,5082,0,0,12774.53,0,0,2,0,5082,0,2,0,5082,0,0,12749.65,0,0,0,12751.41,0,0,2,0,5082,0,0,24.88,0,0
"Dillingham, AK",2070,0,20613.12,0,0,0,20928.41,0,0,1,46042,5081,0,0,18466.93,0,0,0,18674.78,0,0,0,18568.78,0,0,0,2146.19,0,0,0,2253.63,0,0
"Fairbanks North Star, AK",2090,0,7443.68,0,0,0,7444.02,0,0,0,7404,0,0,0,7362.43,0,0,0,7366.24,0,0,0,7338.21,0,0,0,81.25,0,0,0,77.78,0,0
"Haines, AK",2100,0,2754.1,0,0,0,2725.82,0,0,0,2374,0,0,0,2357,0,0,0,2343.73,0,0,0,2318.6,0,0,0,397.1,0,0,0,382.09,0,0
"Hoonah-Angoon, AK",2105,1,17500.23,5084,0,1,11376.73,5084,0,1,13239,5084,0,1,12880.62,5084,0,1,7896.48,5084,0,0,7524.92,0,0,1,4619.61,5084,0,1,3480.25,5084,0
"Juneau, AK",2110,0,3081.12,0,0,0,3255.01,0,0,0,2626,0,0,0,2593.56,0,0,0,2716.67,0,0,0,2701.93,0,0,0,487.56,0,0,0,538.34,0,0
"Kenai Peninsula, AK",2122,0,21664.33,0,0,0,24754.6,0,0,0,16056,0,0,0,16078.92,0,0,0,16013.26,0,0,0,16075.33,0,0,0,5585.41,0,0,0,8741.34,0,0
"Ketchikan Gateway, AK",2130,0,1743.55,0,0,0,1753.98,0,0,0,1242,0,0,0,1219.64,0,0,0,1233.22,0,0,0,4858.41,0,0,0,523.91,0,0,0,520.75,0,0
"Kodiak Island, AK",2150,0,11845.9,0,0,0,12023.67,0,0,0,4796,0,0,0,6462.57,0,0,0,6559.85,0,0,0,6549.58,0,0,0,5383.33,0,0,0,5463.83,0,0
"Lake and Peninsula, AK",2164,0,29008.24,0,0,0,30906.96,0,0,2,0,5081,0,0,23632.32,0,0,0,23781.96,0,0,0,23652.01,0,0,0,5375.92,0,0,0,7125,0,0
"Matanuska-Susitna, AK",2170,0,25232.41,0,0,0,25259.79,0,0,0,24502,0,0,0,24693.64,0,0,0,24681.54,0,0,0,24607.9,0,0,0,538.77,0,0,0,578.25,0,0
"Nome, AK",2180,0,28276.17,0,0,0,28283.33,0,0,0,23871,0,0,0,23012.56,0,0,0,23000.91,0,0,0,22961.76,0,0,0,5263.61,0,0,0,5282.42,0,0
"North Slope, AK",2185,0,93823.1,0,0,0,94762.64,0,0,0,90955,0,0,0,87860.49,0,0,0,88817.12,0,0,0,88695.41,0,0,0,5962.61,0,0,0,5945.53,0,0
"Northwest Arctic, AK",2188,0,40660.96,0,0,0,40762,0,0,0,31593,0,0,0,35862.47,0,0,0,35898.34,0,0,0,35572.58,0,0,0,4798.49,0,0,0,4863.66,0,0
"Petersburg, AK",2195,1,8973.77,5090,0,1,9021.21,5090,0,1,5965,5090,0,1,5808.53,5090,0,1,5834.94,5090,0,0,3281.98,0,0,1,3165.24,5090,0,1,3186.27,5090,0
"Prince of Wales-Hyder, AK",2198,0,12566.41,0,0,0,12706.3,0,0,0,7660,0,0,0,7324.47,0,0,0,7410.62,0,0,0,3922.87,0,0,0,5241.94,0,0,0,5295.67,0,0
"Sitka, AK",2220,0,4849.75,0,0,0,4811.53,0,0,0,2938,0,0,0,2881.48,0,0,0,2873.98,0,0,0,2870.34,0,0,0,1968.27,0,0,0,1937.55,0,0
"Skagway, AK",2230,2,0,5084,0,2,0,5084,0,2,0,5084,0,2,0,5084,0,2,0,5084,0,0,452.33,0,0,2,0,5084,0,2,0,5084,0
"Southeast Fairbanks, AK",2240,0,26235.44,0,0,0,25061.19,0,0,0,24169,0,0,0,25994.11,0,0,0,24814.86,0,0,0,24768.81,0,0,0,241.33,0,0,0,246.33,0,0
"Valdez-Cordova, AK",2261,0,43515.67,0,0,0,40199.15,0,0,0,39229,0,0,0,36945.35,0,0,0,34319.1,0,0,0,34239.88,0,0,0,6570.32,0,0,0,5880.05,0,0
"Wade Hampton, AK",2270,0,19680.08,0,0,0,19669.24,0,0,0,17816,0,0,0,17124.08,0,0,0,17193.5,0,0,0,17081.43,0,0,0,2556,0,0,0,2475.74,0,0
"Wrangell, AK",2275,2,0,5090,0,2,0,5090,0,2,0,5090,0,2,0,5090,0,2,0,5090,0,0,2541.48,0,0,2,0,5090,0,2,0,5090,0
"Yakutat, AK",2282,2,0,5084,0,0,9459.28,0,0,2,0,5084,0,2,0,5084,0,0,7650.46,0,0,0,7649.46,0,0,2,0,5084,0,0,1808.82,0,0
"Yukon-Koyukuk, AK",2290,1,158995.95,5082,0,0,147842.51,0,0,1,159099,5082,0,1,157121.27,5082,0,0,145899.69,0,0,0,145504.79,0,0,1,1874.68,5082,0,0,1942.83,0,0
ARIZONA,4000,0,114006.26,0,0,0,113998.3,0,0,0,113508.06,0,0,0,113642.26,0,0,0,113634.57,0,0,0,113594.08,0,0,0,364,0,0,0,363.73,0,0
"Apache, AZ",4001,0,11219.17,0,0,0,11218.42,0,0,0,11211.05,0,0,0,11205.68,0,0,0,11204.88,0,0,0,11197.52,0,0,0,13.49,0,0,0,13.54,0,0
"Cochise, AZ",4003,0,6219.32,0,0,0,6218.77,0,0,0,6218.37,0,0,0,6170,0,0,0,6169.45,0,0,0,6165.69,0,0,0,49.32,0,0,0,49.32,0,0
"Coconino, AZ",4005,0,18662.57,0,0,0,18661.21,0,0,0,18607.63,0,0,0,18619.14,0,0,0,18617.42,0,0,0,18618.89,0,0,0,43.43,0,0,0,43.79,0,0
"Gila, AZ",4007,0,4796.14,0,0,0,4795.74,0,0,0,4752.4,0,0,0,4768.11,0,0,0,4767.7,0,0,0,4757.93,0,0,0,28.03,0,0,0,28.03,0,0
"Graham, AZ",4009,0,4641.47,0,0,0,4641.14,0,0,0,4630.37,0,0,0,4629.64,0,0,0,4629.32,0,0,0,4622.6,0,0,0,11.83,0,0,0,11.83,0,0
"Greenlee, AZ",4011,0,1848.55,0,0,0,1848.42,0,0,0,1836.76,0,0,0,1847.13,0,0,0,1847,0,0,0,1843.13,0,0,0,1.42,0,0,0,1.42,0,0
"La Paz, AZ",4012,0,4513.66,0,0,0,4513.36,0,0,2,0,5071,0,0,4499.57,0,0,0,4499.95,0,0,0,4499.63,0,0,0,14.09,0,0,0,13.4,0,0
"Maricopa, AZ",4013,0,9224.86,0,0,0,9224.27,0,0,0,9126.76,0,0,0,9204.05,0,0,0,9203.14,0,0,0,9200.14,0,0,0,20.81,0,0,0,21.13,0,0
"Mohave, AZ",4015,0,13470.5,0,0,0,13469.71,0,0,0,13285.33,0,0,0,13312.42,0,0,0,13311.64,0,0,0,13311.08,0,0,0,158.08,0,0,0,158.07,0,0
"Navajo, AZ",4017,0,9960.22,0,0,0,9959.49,0,0,0,9954.71,0,0,0,9953.8,0,0,0,9953.18,0,0,0,9950.42,0,0,0,6.42,0,0,0,6.31,0,0
"Pima, AZ",4019,0,9189.44,0,0,0,9188.83,0,0,0,9186.79,0,0,0,9187.01,0,0,0,9186.27,0,0,0,9187.04,0,0,0,2.43,0,0,0,2.57,0,0
"Pinal, AZ",4021,0,5374.49,0,0,0,5374.09,0,0,0,5343.34,0,0,0,5369.99,0,0,0,5369.59,0,0,0,5365.61,0,0,0,4.5,0,0,0,4.5,0,0
"Santa Cruz, AZ",4023,0,1238.22,0,0,0,1238.11,0,0,0,1238,0,0,0,1237.75,0,0,0,1237.63,0,0,0,1236.92,0,0,0,0.47,0,0,0,0.47,0,0
"Yavapai, AZ",4025,0,8128.33,0,0,0,8127.78,0,0,0,8122.52,0,0,0,8123.54,0,0,0,8123.3,0,0,0,8123.5,0,0,0,4.79,0,0,0,4.48,0,0
"Yuma, AZ",4027,0,5519.32,0,0,0,5518.96,0,0,1,9994.03,5071,0,0,5514.43,0,0,0,5514.09,0,0,0,5513.99,0,0,0,4.89,0,0,0,4.87,0,0
ARKANSAS,5000,0,53182.36,0,0,0,53178.62,0,0,0,52078.24,0,0,0,52075.29,0,0,0,52068.17,0,0,0,52035.48,0,0,0,1107.07,0,0,0,1110.45,0,0
"Arkansas, AR",5001,0,1033.85,0,0,0,1033.79,0,0,0,1005.87,0,0,0,988.53,0,0,0,988.49,0,0,0,988.77,0,0,0,45.32,0,0,0,45.3,0,0
"Ashley, AR",5003,0,939.16,0,0,0,939.08,0,0,0,933.57,0,0,0,921.36,0,0,0,921.15,0,0,0,925.35,0,0,0,17.8,0,0,0,17.93,0,0
"Baxter, AR",5005,0,586.78,0,0,0,586.74,0,0,0,545.77,0,0,0,554.41,0,0,0,554.36,0,0,0,554.28,0,0,0,32.37,0,0,0,32.38,0,0
"Benton, AR",5007,0,876.82,0,0,0,880.24,0,0,0,843.47,0,0,0,843.31,0,0,0,845.99,0,0,0,847.36,0,0,0,33.51,0,0,0,34.25,0,0
"Boone, AR",5009,0,601.86,0,0,0,601.82,0,0,0,583.97,0,0,0,591.22,0,0,0,591.18,0,0,0,590.23,0,0,0,10.64,0,0,0,10.64,0,0
